"Price","District","City","Type","EnergyCertificate","Parking","ConstructionYear","TotalArea","Elevator","TotalRooms","LivingArea","NumberOfBathrooms","lat","long"
350000,"Faro","Portimão","Apartment","C",0,1985,68,"True",2,68,1,37.0162727,-7.9351771
175000,"Faro","Faro","House","No Certificate",0,1950,78,"False",4,78,2,37.0162727,-7.9351771
340000,"Faro","Loulé","Apartment","A",1,2023,94,"True",2,75,2,37.0162727,-7.9351771
250000,"Faro","Loulé","Apartment","C",0,2009,85,"True",2,85,1,37.0162727,-7.9351771
495000,"Faro","Loulé","Apartment","C",1,2003,139,"False",2,139,2,37.0162727,-7.9351771
159900,"Faro","Portimão","Apartment","D",0,1987,55,"True",1,50,1,37.0162727,-7.9351771
340000,"Faro","Albufeira","Apartment","D",0,1975,91,"False",3,85,2,37.0162727,-7.9351771
360000,"Faro","Loulé","Apartment","C",1,1994,72,"True",1,72,1,37.0162727,-7.9351771
279900,"Faro","Faro","Apartment","D",0,1980,90,"True",3,90,2,37.0162727,-7.9351771
340000,"Faro","Olhão","Apartment","C",0,1984,152,"True",3,152,2,37.0162727,-7.9351771
310000,"Faro","Faro","Apartment","C",1,2009,139,"True",3,139,2,37.0162727,-7.9351771
159900,"Faro","Olhão","Apartment","E",0,2015,96,"False",3,96,2,37.0162727,-7.9351771
199000,"Faro","Portimão","House","C",0,2023,82,"False",2,82,2,37.0162727,-7.9351771
330000,"Faro","Loulé","Apartment","C",1,1986,73,"True",2,65,1,37.0162727,-7.9351771
499000,"Faro","Loulé","Apartment","C",0,1988,89,"False",1,73,2,37.0162727,-7.9351771
159900,"Faro","Olhão","Apartment","C",0,2015,96,"False",2,96,1,37.0162727,-7.9351771
159900,"Faro","Olhão","Apartment","C",0,2015,96,"False",3,96,2,37.0162727,-7.9351771
184000,"Faro","Portimão","Apartment","E",0,1983,96,"True",2,88,1,37.0162727,-7.9351771
249500,"Faro","Albufeira","Apartment","E",0,1989,69,"False",2,65,2,37.0162727,-7.9351771
223000,"Faro","Portimão","Apartment","D",0,1981,100,"True",3,89,2,37.0162727,-7.9351771
180000,"Faro","Portimão","Apartment","C",0,1989,66,"False",1,59,1,37.0162727,-7.9351771
265000,"Faro","Faro","Apartment","D",0,1997,100,"True",2,100,2,37.0162727,-7.9351771
371500,"Faro","Faro","Apartment","C",0,1972,121,"True",4,109,2,37.0162727,-7.9351771
170000,"Faro","Portimão","Apartment","E",0,1987,88,"True",2,88,1,37.0162727,-7.9351771
259000,"Faro","Tavira","Apartment","C",0,1999,116,"True",3,104,2,37.0162727,-7.9351771
269000,"Faro","Loulé","Apartment","D",0,1988,65,"True",1,65,1,37.0162727,-7.9351771
154500,"Faro","Portimão","Apartment","D",0,1993,48,"True",1,42,1,37.0162727,-7.9351771
365000,"Faro","Portimão","Apartment","C",2,2006,158,"True",3,158,2,37.0162727,-7.9351771
4e+05,"Faro","Albufeira","House","A",2,2023,140,"False",2,140,3,37.0162727,-7.9351771
122500,"Faro","Olhão","Apartment","C",0,1979,62,"True",1,62,1,37.0162727,-7.9351771
450000,"Faro","Albufeira","House","C",2,2002,116,"False",3,116,3,37.0162727,-7.9351771
220000,"Faro","Loulé","Apartment","D",1,1989,40,"False",1,40,1,37.0162727,-7.9351771
370000,"Faro","Olhão","Apartment","B-",0,2010,74,"True",2,74,1,37.0162727,-7.9351771
267500,"Faro","Albufeira","Apartment","D",0,1992,77,"False",1,77,2,37.0162727,-7.9351771
189000,"Faro","Portimão","Apartment","D",0,1990,187,"True",1,48,1,37.0162727,-7.9351771
330000,"Faro","Loulé","Apartment","D",1,1994,90,"True",2,77,2,37.0162727,-7.9351771
242000,"Faro","Tavira","Apartment","B",0,2005,64,"False",1,58,1,37.0162727,-7.9351771
220000,"Faro","Albufeira","Apartment","D",0,1989,74,"True",1,74,1,37.0162727,-7.9351771
214500,"Faro","Olhão","House","D",1,1979,123,"True",3,78,2,37.0162727,-7.9351771
135000,"Faro","Olhão","House","E",0,1951,95,"False",2,50,1,37.0162727,-7.9351771
199000,"Faro","Tavira","Apartment","C",1,2004,70,"False",2,70,1,37.0162727,-7.9351771
364000,"Faro","Tavira","Apartment","B-",1,2007,136,"True",3,136,2,37.0162727,-7.9351771
229000,"Faro","Portimão","Apartment","E",0,1988,75,"True",2,67,1,37.0162727,-7.9351771
4e+05,"Faro","Albufeira","House","A",2,2023,140,"False",2,140,3,37.0162727,-7.9351771
799000,"Faro","Olhão","Apartment","A+",1,2022,122,"True",2,122,3,37.0162727,-7.9351771
125000,"Faro","Portimão","Apartment","D",0,1993,43,"True",1,42,1,37.0162727,-7.9351771
905000,"Faro","Loulé","Apartment","A",1,2023,125,"True",3,125,3,37.0162727,-7.9351771
229500,"Faro","Albufeira","Apartment","D",1,1992,84,"False",2,6,1,37.0162727,-7.9351771
770000,"Faro","Loulé","Apartment","A",1,2023,98,"True",2,98,3,37.0162727,-7.9351771
169250,"Faro","Tavira","Apartment","D",0,1998,60,"False",1,60,1,37.0162727,-7.9351771
424000,"Faro","Faro","Apartment","A",3,2023,132,"True",2,132,1,37.0162727,-7.9351771
455800,"Faro","Faro","Apartment","A",3,2023,145,"True",2,145,1,37.0162727,-7.9351771
